length,thickness,minR,meanR,maxR,minG,meanG,maxG,minB,meanB,maxB;
19,5,1,11,35,1,11,35,1,11,35;
16,3,15,63,123,15,63,123,15,63,123;
12,3,16,48,91,16,48,91,16,48,91;
13,4,17,64,105,17,64,105,17,64,105;
29,5,1,26,92,1,26,92,1,26,92;
16,4,6,45,91,6,45,91,6,45,91;
11,3,28,68,97,28,68,97,28,68,97;
12,4,10,35,59,10,35,59,10,35,59;
14,3,14,45,70,14,45,70,14,45,70;
12,2,9,34,63,9,34,63,9,34,63;
12,4,8,38,76,8,38,76,8,38,76;
13,3,15,42,80,15,42,80,15,42,80;
14,4,4,20,48,4,20,48,4,20,48;
20,5,1,19,60,1,19,60,1,19,60;
12,4,10,33,73,10,33,73,10,33,73;
13,3,14,67,104,14,67,104,14,67,104;
14,3,12,70,128,12,70,128,12,70,128;
17,4,8,77,130,8,77,130,8,77,130;
14,3,18,71,113,18,71,113,18,71,113;
14,3,9,30,56,9,30,56,9,30,56;
12,4,7,39,81,7,39,81,7,39,81;
29,5,1,25,76,1,25,76,1,25,76;
11,3,16,57,88,16,57,88,16,57,88;
22,4,5,49,106,5,49,106,5,49,106;
16,4,3,45,100,3,45,100,3,45,100;
14,2,39,107,180,39,107,180,39,107,180;
14,3,14,46,83,14,46,83,14,46,83;
15,5,1,16,56,1,16,56,1,16,56;
16,4,6,53,103,6,53,103,6,53,103;
10,4,23,53,92,23,53,92,23,53,92;
26,5,2,47,112,2,47,112,2,47,112;
8,4,4,29,73,4,29,73,4,29,73;
16,5,2,23,65,2,23,65,2,23,65;
16,3,55,96,154,55,96,154,55,96,154;
24,5,1,24,70,1,24,70,1,24,70;
17,5,1,42,93,1,42,93,1,42,93;
10,4,20,65,108,20,65,108,20,65,108;
15,3,16,77,117,16,77,117,16,77,117;
17,4,5,42,104,5,42,104,5,42,104;
14,4,8,31,67,8,31,67,8,31,67;
14,6,2,22,64,2,22,64,2,22,64;
34,13,6,34,86,6,34,86,6,34,86;
4,2,1,2,8,1,2,8,1,2,8;
23,5,10,98,177,10,98,177,10,98,177;
18,4,15,63,114,15,63,114,15,63,114;
15,5,1,25,69,1,25,69,1,25,69;
13,3,9,61,103,9,61,103,9,61,103;
14,3,28,70,123,28,70,123,28,70,123;
14,5,14,43,73,14,43,73,14,43,73;
14,4,8,44,77,8,44,77,8,44,77;
13,5,1,25,74,1,25,74,1,25,74;
15,4,12,43,89,12,43,89,12,43,89;
14,4,9,38,88,9,38,88,9,38,88;
13,3,15,64,100,15,64,100,15,64,100;
20,5,2,27,79,2,27,79,2,27,79;
16,4,12,65,103,12,65,103,12,65,103;
14,3,12,53,86,12,53,86,12,53,86;
13,3,36,92,126,36,92,126,36,92,126;
14,3,31,77,115,31,77,115,31,77,115;
16,4,24,82,117,24,82,117,24,82,117;
13,4,17,68,119,17,68,119,17,68,119;
15,4,6,30,69,6,30,69,6,30,69;
33,5,1,42,105,1,42,105,1,42,105;
16,4,22,76,125,22,76,125,22,76,125;
11,3,9,58,86,9,58,86,9,58,86;
18,4,12,50,106,12,50,106,12,50,106;
15,3,18,62,112,18,62,112,18,62,112;
15,4,3,19,56,3,19,56,3,19,56;
23,5,2,19,66,2,19,66,2,19,66;
22,4,8,72,136,8,72,136,8,72,136;
15,3,19,45,75,19,45,75,19,45,75;
16,3,16,103,172,16,103,172,16,103,172;
13,4,13,68,116,13,68,116,13,68,116;
30,5,5,51,87,5,51,87,5,51,87;
27,5,2,50,101,2,50,101,2,50,101;
1,0,2,39,88,2,39,88,2,39,88;
11,3,18,60,102,18,60,102,18,60,102;
22,5,2,19,63,2,19,63,2,19,63;
16,4,25,75,133,25,75,133,25,75,133;
16,4,14,44,77,14,44,77,14,44,77;
12,4,43,84,136,43,84,136,43,84,136;
31,5,1,38,87,1,38,87,1,38,87;
21,4,3,27,77,3,27,77,3,27,77;
10,4,8,39,86,8,39,86,8,39,86;
14,4,7,42,71,7,42,71,7,42,71;
19,5,2,34,87,2,34,87,2,34,87;
16,3,10,53,107,10,53,107,10,53,107;
13,3,12,62,98,12,62,98,12,62,98;
15,3,7,49,90,7,49,90,7,49,90;
15,3,5,54,121,5,54,121,5,54,121;
15,4,7,35,69,7,35,69,7,35,69;
11,4,10,44,99,10,44,99,10,44,99;
15,4,9,43,78,9,43,78,9,43,78;
17,4,8,45,77,8,45,77,8,45,77;
19,5,5,33,73,5,33,73,5,33,73;
14,4,5,38,73,5,38,73,5,38,73;
22,5,1,17,57,1,17,57,1,17,57;
17,3,13,72,124,13,72,124,13,72,124;
13,4,1,29,72,1,29,72,1,29,72;
20,5,6,39,100,6,39,100,6,39,100;
16,4,12,64,121,12,64,121,12,64,121;
11,4,7,29,69,7,29,69,7,29,69;
17,5,5,44,95,5,44,95,5,44,95;
22,5,1,15,49,1,15,49,1,15,49;
18,4,1,29,79,1,29,79,1,29,79;
15,5,8,37,75,8,37,75,8,37,75;
17,3,8,67,117,8,67,117,8,67,117;
22,5,5,37,77,5,37,77,5,37,77;
5,4,1,5,16,1,5,16,1,5,16;
13,5,1,19,68,1,19,68,1,19,68;
33,5,3,50,157,3,50,157,3,50,157;
21,4,9,45,106,9,45,106,9,45,106;
16,3,27,73,122,27,73,122,27,73,122;
14,4,9,38,90,9,38,90,9,38,90;
19,8,2,26,76,2,26,76,2,26,76;
15,7,3,30,133,3,30,133,3,30,133;
23,5,3,24,74,3,24,74,3,24,74;
14,4,15,63,108,15,63,108,15,63,108;
12,4,21,56,100,21,56,100,21,56,100;
25,5,2,58,114,2,58,114,2,58,114;
31,5,1,29,82,1,29,82,1,29,82;
17,3,26,108,185,26,108,185,26,108,185;
20,4,4,58,132,4,58,132,4,58,132;
10,3,26,58,88,26,58,88,26,58,88;
12,6,2,22,56,2,22,56,2,22,56;
16,5,3,36,82,3,36,82,3,36,82;
5,3,1,7,20,1,7,20,1,7,20;
21,2,24,95,158,24,95,158,24,95,158;
24,5,1,28,82,1,28,82,1,28,82;
16,3,9,67,125,9,67,125,9,67,125;
18,4,5,29,69,5,29,69,5,29,69;
27,6,1,29,73,1,29,73,1,29,73;
11,5,6,36,77,6,36,77,6,36,77;
17,3,9,45,74,9,45,74,9,45,74;
30,6,1,22,66,1,22,66,1,22,66;
6,5,2,15,42,2,15,42,2,15,42;
19,3,4,78,127,4,78,127,4,78,127;
15,4,5,24,73,5,24,73,5,24,73;
18,4,3,24,60,3,24,60,3,24,60;
19,4,7,40,78,7,40,78,7,40,78;
24,4,7,43,100,7,43,100,7,43,100;
19,4,3,26,74,3,26,74,3,26,74;
4,3,1,2,8,1,2,8,1,2,8;
17,5,9,33,91,9,33,91,9,33,91;
16,5,3,29,67,3,29,67,3,29,67;
16,5,1,13,40,1,13,40,1,13,40;
14,4,2,31,82,2,31,82,2,31,82;
16,5,1,29,74,1,29,74,1,29,74;
27,6,1,26,75,1,26,75,1,26,75;
20,2,14,60,95,14,60,95,14,60,95;
26,6,1,15,69,1,15,69,1,15,69;
11,4,4,21,53,4,21,53,4,21,53;
19,5,4,41,91,4,41,91,4,41,91;
14,5,1,19,51,1,19,51,1,19,51;
7,4,8,22,56,8,22,56,8,22,56;
24,6,1,30,78,1,30,78,1,30,78;
25,4,13,89,162,13,89,162,13,89,162;
23,5,2,27,74,2,27,74,2,27,74;
10,5,5,34,69,5,34,69,5,34,69;
21,3,13,65,135,13,65,135,13,65,135;
