length,thickness,minR,meanR,maxR,minG,meanG,maxG,minB,meanB,maxB;
8,7,92,98,105,41,49,57,10,16,24;
16,4,111,114,119,63,70,76,26,38,47;
17,5,85,90,98,32,36,42,5,13,20;
20,6,118,124,137,76,83,98,39,50,67;
20,5,84,89,96,26,33,40,8,12,17;
18,7,102,112,125,54,66,84,16,30,46;
13,9,98,110,123,48,63,79,21,33,52;
20,10,65,90,103,14,33,50,5,12,22;
5,4,63,68,76,18,22,29,12,16,21;
18,6,75,88,97,26,33,41,12,17,23;
13,5,82,88,97,27,36,46,10,14,19;
12,5,84,94,104,35,43,54,6,13,20;
22,6,93,104,115,44,56,69,14,21,35;
14,7,86,92,99,35,41,52,9,15,20;
6,2,100,102,106,47,49,51,9,13,17;
17,6,79,86,97,31,36,43,7,13,19;
11,4,86,98,109,36,47,56,11,15,19;
19,6,87,100,109,31,51,64,9,17,29;
14,5,94,97,101,36,40,47,5,11,17;
26,6,84,95,104,34,43,52,9,16,25;
10,5,100,116,125,56,70,79,21,35,44;
16,6,92,103,115,40,56,69,19,27,40;
14,10,96,101,109,42,49,59,8,19,35;
13,6,90,96,103,33,41,54,10,15,24;
13,5,99,102,109,47,50,57,7,12,20;
16,5,96,102,109,43,48,56,15,19,26;
15,8,77,87,102,28,36,48,5,12,20;
25,7,105,115,124,55,72,92,18,40,60;
17,5,92,101,111,43,51,60,13,17,23;
30,9,119,126,136,74,88,99,31,56,73;
19,6,92,100,117,46,53,72,14,23,33;
